,data
980,función dependiente judicial seguimiento vigilancia procesos persona proactiva orientado logro recursivo
981,coordinador gestia³n comercial administrativo responsabilidad garantizar seguimiento frente resultado fuerza comercial libranza nivel nacional acompaa±amiento frente proceso back capacitación pola­ticas generar estrategia apoyo la­der comercial cumplir plan comerciales estipulado generar estrategia promover compromiso sentido pertenencia empoderamiento personal cargo lograr mecanismo controlcoordinar controlar cumplimiento estrategia comerciales administrativo originar planeacia³n compaa±a­aprestar capacitacia³n asesora­a fuerza comercial mejorar habilidad venta
982,compromisoalta capacidad interpretacia³nalta capacidad ana¡lisisalta capacidad concentracia³norientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente compromisoalta capacidad interpretacia³nalta capacidad ana¡lisisalta capacidad concentracia³norientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente
983,gerencia paqueteo profesional administracia³n empresa ingeniera­a industrial afín experiencia aa±os trabajar empresa servicio loga­sticos about our client importante compaa±a­a servicio loga­sticos cobertura nacional internacional gerencia paqueteo debera job description responsable estructuracia³n desarrollo operacia³n paqueteo crossdocking nivel nacional desarrollar modelo loga­sticos mejorar optimizacia³n proceso eficiencia operacia³n acuerdo niveles servicio clientes organizacia³n the successful applicant perfil cumplir siguiente requerimiento experiencia ma­nima aa±os trabajar empresa servicio loga­sticos contract logistics paqueteo cobertura nivel nacional debera profesional administracia³n empresa ingeniera­a industrial carrera fin estudio adicional loga­stica excelente habilidad liderazgo equipo pensamiento estrata gicos tomar decisión what offer paquete salarial competitivo contact luisa lievano quote job ref
984,espacio asignado habilidad competencias solicitud empresa reporta informacia³n adicional
985,account manager profesional ingeniera­a qua­mica ingeniera­a industrial administracia³n aa±os experiencia venta solución cnicas qua­micas about our client importante multinacional ingredientes job description reportar gerencia comercial posicia³n account manager debera cumplir presupuesto anual empresa desarrollar cliente incrementar tecnologa­as cliente actual liderar proyecto puntual clientes the successful applicant perfil cumplir siguiente requerimiento profesional ingeniera­a qua­mica ingeniera­a industrial administracia³n aa±os experiencia venta solución cnicas qua­micas sector alimento grasa bebido confitera­a panificacia³n ca¡rnicos la¡cteos perfil proactivo auta³nomo experiencia desarrollo cliente actual baºsqueda negocios debera nivel ingla intermedio avanzado experiencia clientes regional plus what offer crecimiento importante multinacional responsabilidad regional contact gabriele adamoli quote job ref
986,habilidad comunicacia³n oral escrito plataforma digital persona proactiva enfocado anala­tica dina¡mica organizado atencia³n detalle actitud liderazgo equipo orientacia³n resultado excelente presentacia³n personal caso omiso proceso retro alimentacian ley educacia³n ma­nima egresado tecnologa sena educacia³n ma­nima universidad asltimos semestre carrera profesional aa±os experiencia edad mujer aa±os conocimientos microsoft excel avanzado disponibilidad viajar disponibilidad cambio residencia caso omiso proceso retro alimentacian ley
987,tecna³logo negociacia³n internacional profesional programa formacia³n relacionado proceso gestia³n loga­stica cadena abastecimiento ingeniero industrial ingeniera­a mercado loga­stica alimento administrador empresa contabilidad finanzas afín preferiblemente especializacia³n loga­stica comercio internacional negocio internacional experiencia laboral desarrollo actividad relacionado gestia³n loga­stica ma­nimo veinticuatro mes
988,coordinador gestia³n comercial administrativo responsabilidad garantizar seguimiento frente resultado fuerza comercial libranza nivel nacional acompaa±amiento frente proceso back capacitación pola­ticas generar estrategia apoyo la­der comercial cumplir plan comerciales estipulado generar estrategia promover compromiso sentido pertenencia empoderamiento personal cargo lograr mecanismo controlcoordinar controlar cumplimiento estrategia comerciales administrativo originar planeacia³n compaa±a­aprestar capacitacia³n asesora­a fuerza comercial mejorar habilidad venta
989,jefatura producto ma­nimo aa±os experiencia a¡rea comercial manejo compra presupuesto about our client importante multinacional reconocimiento industria producto lujo jefatura producto debera job description gestionar ejecucia³n marca representado maximizar venta herramientas mercadeo estrategia comerciales acompaa±amiento personal desarrollar compra manejar inventario gestionar plan venta desarrollar marca cargo mercadeo merchandising the successful applicant perfil cumplir siguiente requerimiento ma­nimo aa±os experiencia a¡rea comercial manejo compra presupuesto experiencia a¡rea comercial mercadeo arta­culos lujo moda conocimientos experiencia marketing digital excelente relacionamiento proveedor cliente ingla avanzado ma­nimo excluyente manejo sap plus what offer atractivo paquete salarial oportunidad desarrollo profesional contact laura anzola guerrero quote job ref
990,empresa forma comaºn gustar ra¡pido apasionado impacto directo crecimiento linio empresa joven horizontal sor formado gente joven lleno energa­a empresa abierta libre confiamos potencial gente decisión puntos pensar cliente empa¡ticos suceder a­ntegros seguros xito alcanzar duro constante da­a da­a esforzar cliente experiencia compra la­nea mucha­simo seguir trabajar trabajar lograr vida ma¡s fa¡cil latinoamericano necesitar equipo buscar international operations manager sumar equipo linio colombia misia³n coordinar ejecutar actividad relacionado a¡reas shipping loga­stica inversa payments procurement alcanzar objetivo operacia³n falabella com internacional responsabilidad revisar seguimiento reporte generado a¡rea garantizar cumplimiento indicador seguimiento pesos medido procesamiento seller producto publicado tienda linio colombia recibir control calidad devolución clientes diverso concepto utilizar herramienta wms seguimiento proveedor cumplir indicador operativos proponer optimización procesos parea finalidad seguimiento gestia³n reembolsos contracargos asignado diariamente revisar seguimiento reporte generado analista procurar garantizar cumplimiento indicador liderar analista a¡rea acompaa±amiento función requisito profesional titulado carrera ingeniera­a industrial administracia³n empresa economa­a afa­n experiencia laboral aa±os cargo similar desempea±o previo a¡reas loga­stica empresa ecommerce ingla avanzado excel avanzado perfil proactivo habilidad comunicacia³n efectivo orientado equipo dina¡mico adaptable cambio posicia³n interesante invitamos formes familia linio quieres ma¡s linio com
991,contar habilidad liderazgo organizacia³n personal manejo administrativo derivar servicio
992,gerencia financiero administrativo experiencia aa±os liderar a¡reas administrativo financiero experiencia deseable sector floricultor about our client importante compaa±a­a sector floricultor job description reportar gerencia general junto directiva gerencia financiero administrativo debera controlar ejecucia³n presupuesto compaa±a­a garantizar entrega oportuna reporte informes financiero analizar rentabilidad productividad negocio viabilidad proyecto experiencia modelaje financiero forecasting supervisia³n auditora­as control interno analizar resultado variación tendencias negocio generar estrategia mejora continua manejo normas internacional experiencia reportar ifrs usgaap supervisar operaciones auditora­a control interno asegurar cumplimiento ley pautas financiero experiencia comercio exterior exportación liderar administracia³n procedimiento administrativo garantizar eficacia eficiencia seguridad organizacional operaciones diario habilidad comunicacia³n adaptacia³n flexibilidad dinamismo equipo the successful applicant perfil cumplir siguiente requerimiento profesional contadura­a paºblica administracia³n empresa carreras afín experiencia aa±os liderar a¡reas administrativo financiero procesos reporting planeacian tesoreraa control interno deseable experiencia previa empresa procesos productivo mandatorio altamente deseable sector floricultor nivel ingla avanzado excluyente habilidad comunicacia³n adaptacia³n flexibilidad dinamismo equipo what offer estabilidad contact isabel nieto quote job ref
993,project manager latam profesional ingeniera­a industrial electra³nica ela ctrica afín nivel ingla about our client importante empresa peruano la­der servicio almacenamiento procesamiento fra­o iqf medio producto desarrolla red integrado moderno almacén tecnologa­a punta ayudar brindar mundo alimento alto calidad job description posicia³n project manager latam debera liderar proyecto colombia brasil chile cuarto fra­os sistema refrigeracia³n participar inicio entrega proyecto disea±o rentabilidad costo ejecucia³n entrega mantenimiento disea±o proyecto liderar equipo manejo presupuesto solución da­a da­a liderar estrata gicamente tiempo entregar tarea asignado equipo seguimiento the successful applicant perfil cumplir siguiente requerimiento profesional ingeniera­a industrial electra³nica ela ctrica afín sera plus certificacia³n pmp ma¡s aa±os experiencia cargo regional liderar proyecto cuartos fra­os manejo equipo manejo sistema refrigeracia³n ingeniera­a nivel ingla experiencia manejo equipo nivel latam manejo kpia´s manejo autocar disponibilidad viajar what offer oportunidad importante empresa sector industrial liderar equipo nivel latam paquete salarial competitivo frente mercado regional contact natalia mejia quote job ref
994,espacio asignado habilidad competencias solicitud empresa reporta informacia³n adicional
995,espacio asignado habilidad competencias solicitud empresa reporta informacia³n adicional
996,introduccia³n ibm ma¡s vocacia³n construir disea±ar codificar consultar pensar cliente vender crear mercado inventar colaborar creya³ posible frente tecnologa­a resolver problema ma¡s exigente mundo funcia³n responsabilidad comprador garantizar cumplimiento pola­ticas compra solicitud presupuesto preparacion propuesto adjudicacia³n creacion pedido administrar registro cambios maestro proveedor administrar creacia³n modificacion cata¡logos gestia³n contrato negociacia³n informe medicia³n compra nivel servicio ahorro etc experiencia profesional cnica necesario rol cnicos tecna³logos programa administrativo administracia³n empresa economa­a comercio carrera relacionado gestia³n paquetes oficina aa±o experiencia comprador gestia³n sap experiencia profesional cnica preferido ingles intermedio acerca unidad negocio ibm services equipo consultores negocios estrategia tecnologa­a disea±an construir ejecutar sistema servicio fundamental columna vertebral economa­a mundial ibm services asocia compaa±a­as la­deres ma¡s paa­ses desarrollar negocio ma¡s inteligente reimaginar reinventar trava tecnologa­a metodologa­as centrado resultado portafolio la­der industria experiencia investigacia³n operaciones nivel innovacia³n basado resultado excelencia duradero vida ibm a¿qua importar este buscar pra³ximo reto profesional quiera involucrarse realmente cambiar mundo a¿qua oportunidad desarrollo carrera increa­bles diverso realmente descubrir pasia³n a¿esta buscar cultura apertura colaboracia³n confianza voz a¿y qua asa­ ibm podra­a pra³ximo reto profesional asnar creya³ posible impacto inclusia³n experiencia infinito hacer vida acerca ibm ibm empresa la­der plataforma nube solución cognitivo reinventa¡ndonos descanso empleador consultora­a tecnologa­a ma¡s grande mundo ma¡s empleado atender clientes paa­ses watson plataforma basado dato empresa construir solución basado industria solucionar problema mundo real declaracia³n ubicacia³n obtener ma¡s informacia³n acerca requisito ubicacia³n hablar reclutador despua enva­e solicitud ibm ibm esforzar crear entorno diverso enorgullecer empresa regir igualdad oportunidad tendra¡n solicitante calificado independientemente raza color religia³n sexo expresia³n identidad sexual orientacia³n sexual paa­s origen gena tico discapacidad edad veterano guerra ibm tambia comprometer cumplir pra¡cticas justo relacia³n condicia³n ciudadana­a inmigracia³n
997,candidato ideal persona comercial habilidad liderazgo equipo comunicacia³n alto orientacia³n cliente creativa alto orientacia³n logro tendra cargo coordinacia³n gestia³n comercial funcionamiento administrativo oficina asignado trabajar interdisciplinaria contribuir consecucia³n masivo producto la­der comercial responsabilidad garantizar cumplimiento meta establecido zona bogota responsabilidad este colocacia³n comercial producto trava generacia³n estrategia seguimiento acompaa±amiento personal cargo cumplir plan comerciales estipulado
998,espacio asignado habilidad competencias solicitud empresa reporta informacia³n adicional
999,profesional producto experiencia pra¡ctica profesional aa±os profesional administracia³n empresa ingeniera­a industrial afín about our client cliente asegurador mas grande paa­s job description posicia³n profesional producto debera ana¡lisis producto benchmarks mapeo necesario crear producto seguros comercializar canal digital compaa±a­a gestionar creacia³n producto seguros digital a¡rea cnica suscripcia³n reaseguro compaa±a­a construir validar condicionado texto coberturas normativo material publicar producto campaa±as digital asa­ actualización necesario cara¡cter normativo cnico segaºn priorizacia³n hecho product owner definicia³n construccia³n conjunta pricing seguros digital equipo actuara­a campaa±a the successful applicant perfil cumplir siguiente requerimiento experiencia pra¡ctica profesional aa±os destreza ejecucia³n rol desarrollo actividad cargo profesional administracia³n empresa ingeniera­a industrial carrera afín experiencia desarrollo producto seguros what offer equipo producto digital mejores asegurador paa­s contact juan diaz quote job ref
1000,gerencia financiero administrativo experiencia aa±os liderar a¡reas administrativo financiero experiencia deseable sector floricultor about our client importante compaa±a­a sector floricultor job description reportar gerencia general junto directiva gerencia financiero administrativo debera controlar ejecucia³n presupuesto compaa±a­a garantizar entrega oportuna reporte informes financiero analizar rentabilidad productividad negocio viabilidad proyecto experiencia modelaje financiero forecasting supervisia³n auditora­as control interno analizar resultado variación tendencias negocio generar estrategia mejora continua manejo normas internacional experiencia reportar ifrs usgaap supervisar operaciones auditora­a control interno asegurar cumplimiento ley pautas financiero experiencia comercio exterior exportación liderar administracia³n procedimiento administrativo garantizar eficacia eficiencia seguridad organizacional operaciones diario habilidad comunicacia³n adaptacia³n flexibilidad dinamismo equipo the successful applicant perfil cumplir siguiente requerimiento profesional contadura­a paºblica administracia³n empresa carreras afín experiencia aa±os liderar a¡reas administrativo financiero procesos reporting planeacian tesoreraa control interno deseable experiencia previa empresa procesos productivo mandatorio altamente deseable sector floricultor nivel ingla avanzado excluyente habilidad comunicacia³n adaptacia³n flexibilidad dinamismo equipo what offer estabilidad contact isabel nieto quote job ref
1001,espacio asignado habilidad competencias solicitud empresa reporta informacia³n adicional
1002,espacio asignado habilidad competencias solicitud empresa reporta informacia³n adicional
1003,gerencia recursos humano conocimiento procesos recursos humano experiencia reclutamiento seleccia³n personal about our client cliente importante empresa sector energa­a job description reportar gerencia general gerencia recursos humano debera elaborar controlar proceso atraccia³n reclutamiento seleccia³n induccia³n personal proyectar coordinar ejecutar programa capacitacia³n entrenamiento empleado creacia³n estrategia ejecucia³n plan bienestar trabajador mejorar ambiente productividad seguimiento sst sistema gestia³n seguridad salud liderar proceso na³mina seguimiento the successful applicant perfil cumplir siguiente requerimiento profesional administracia³n empresa ingeniera­a industrial carrera afín ma­nimo aa±os experiencia a¡rea recursos humano profesional experiencia equipo recursos humano conocimientos manejo administracia³n personal na³mina indispensable nivel ingla avanzado medio mes despua completo what offer ofrecer pertenecer empresa sector energa­a beneficio equipo comunicacia³n asertivo orientacia³n resultado contact lina maria melo quote job ref
1004,experiencia laboral facilidad expresia³n habilidad comunicacia³n telefa³nica servicio cliente orientacia³n resultado excelente presentacia³n personal capacidad estrata gica autonoma­a bachilleroptimo manejo paquete office agilidad actitud aprendizaje seguimiento instrucción alto capacidad empata­a persuasia³n
1005,direccia³n laboratorio profesional biologa­a agronoma­a carrera afín experiencia investigacia³n desarrollo flores ornamental about our client compaa±a­a la­der breeding flores job description direccia³n laboratorio debera planificacia³n ejecucia³n proceso laboratorio planta invitro programacia³n cumplimiento entregas compra materiales manejo presupuesto involucrar investigacia³n desarrollo iniciacia³n meristemos the successful applicant perfil cumplir siguiente requerimiento profesional biologa­a agronoma­a carrera afín experiencia investigacia³n desarrollo flores ornamental tambia revisara¡n perfiles experiencia propagacia³n flor ornamental plus experiencia alstroemeria callas crisantemos plus experiencia laboratorios planta invitro actitud equipo habilidad relacionamiento comunicacia³n capacidad organizacia³n planeacia³n what offer oportunidad pertenecer compaa±a­a la­der industria ambiente cultura corporativo positivo contact laura gomez quote job ref
1006,espa­ritu adaptacia³norganizacia³natencia³n clientepacienciatrabajo grupo comunicacia³n asertivaproactividadperseveranciaorientacia³n logro
1007,kam alto conocimiento canal mayoreo experiencia empresa consumo masivo about our client cliente compaa±a­a mexicana consumo masivo sector alimentos posicia³n kam debera job description atencia³n cliente actual apertura nichos mercado canales venta ana¡lisis estrategia precio implementacia³n medicia³n efectividad plan promocionales control inventario cliente sugerir producto the successful applicant perfil cumplir siguiente requerimiento perfiles autonoma­a proactividad responsabilidad estrata gico visia³n plazo asa­ comunicacia³n asertivo what offer paquete compensatorio salario comisión medicina prepagada rodamiento contact ivan cabra cruz quote job ref
1008,espacio asignado habilidad competencias solicitud empresa reporta informacia³n adicional
1009,dominio conversacional ingla portugua sdeseable experiencia mesa ayuda mesa servicio atencia³n incidente cnicosexcelentes relación personal comunicacia³n atencia³n cliente proactivo comunicacia³n iniciativa equipo compromiso orientacia³n cliente
1010,coordinacia³n financiero profesional contadura­a paºblica administracia³n empresa carreras afín experiencia procesos reporting planeacia³n modelaje financiero about our client compaa±a­a alimento ciudad bogota job description reportar gerencia financiero coordinacia³n financiero debera participar ejecucia³n control presupuesto compaa±a­a garantizar entrega oportuna reporte financiero coordinacia³n cierre contable balance mensual manejo entidades control control flujo caja presentacia³n proyección financiero analizar rentabilidad productividad negocio viabilidad proyecto experiencia modelaje financiero forecasting supervisia³n auditora­as control interno disea±ar instrumentos control gestia³n financiero the successful applicant perfil cumplir siguiente requerimiento espaa±ol ingla avanzado profesional contadura­a paºblica administracia³n empresa carreras afín experiencia aa±os liderar proceso contable financiero proceso especa­ficos reporting planeacia³n modelaje financiero habilidad comunicacia³n adaptacia³n flexibilidad dinamismo equipo what offer estabilidad contact isabel nieto quote job ref
1011,compromisoalta capacidad interpretacia³nalta capacidad ana¡lisisalta capacidad concentracia³norientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente compromisoalta capacidad interpretacia³nalta capacidad ana¡lisisalta capacidad concentracia³norientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente
1012,candidato ideal persona comercial habilidad liderazgo equipo comunicacia³n alto orientacia³n cliente creativa alto orientacia³n logro tendra cargo coordinacia³n gestia³n comercial funcionamiento administrativo oficina asignado trabajar interdisciplinaria contribuir consecucia³n masivo producto la­der comercial responsabilidad garantizar cumplimiento meta establecido zona bogota responsabilidad este colocacia³n comercial producto trava generacia³n estrategia seguimiento acompaa±amiento personal cargo cumplir plan comerciales estipulado
1013,gerencia financiero nivel ingles avanzado experencia sap about our client cliente importante empresa dispositivos dicos gerencia financiero debera job description liderar proceso contabilidad impuesto facturacia³n auditora­a debera manejar cuenta pagar reembolsos gasto preparar presentar presupuesto control crediticio proceso cobranza the successful applicant perfil cumplir siguiente requerimiento profesional contadura­a publicar carrera administrativo afín aa±os experiencia cargo similar profesional habilidad liderazgo what offer ofrecer pertenecer importante empresa beneficios contact paula ferreira quote job ref
1014,direccia³n implementacia³n proyecto tic profesional administrador empresa ingenieria fin mas aa±os experiencia sector telecomunicaciones about our client importante compaa±a­a telecomunicación job description direccia³n implementacia³n proyecto tic debera gestionar indicador estrata gicos asegurar implementacia³n proyecto servicios tic asegurar implementacia³n solución dedicado asegurar control presupuestal the successful applicant perfil cumplir siguiente requerimiento profesional mas aa±os experiencia direccia³n proyecto infraestructura sector telecomunicación persona encargado administracia³n soporte gestia³n implementacia³n servicio redes telecomunicaciones capacidad coordinacia³n liderazgo equipo indicador gestia³n what offer autonoma­a tomar decisión responsabilidad nivel nacional contact natalia betancur quote job ref
1015,gerencia comercial energy profesional ingeniera­a ela ctrica electromeca¡nica carrera afa­n aa±os experiencia cargo comerciales about our client cliente importante empresa industrial ela ctrico especializado automatizacia³n mantenimiento energa­a job description reportar gerencia general gerencia comercial energy debera aperturar negocio clientes clientes garantizar presupuesto anual mensual asa­ liquidez compaa±a­a responsable administracia³n supervisia³n control eficacia obra ejecutado the successful applicant perfil cumplir siguiente requerimiento profesional ingeniera­a ela ctrica electromeca¡nica afa­n ma­nimo aa±os experiencia cargo comerciales mantenimiento redes ela ctricas profesional financiero comerciales what offer ofrecer pertenecer empresa ofrecer posibilidad crecer profesional crear estructura equipo contact daniela carruyo quote job ref
1016,gerencia paqueteo profesional administracia³n empresa ingeniera­a industrial afín experiencia aa±os trabajar empresa servicio loga­sticos about our client importante compaa±a­a servicio loga­sticos cobertura nacional internacional gerencia paqueteo debera job description responsable estructuracia³n desarrollo operacia³n paqueteo crossdocking nivel nacional desarrollar modelo loga­sticos mejorar optimizacia³n proceso eficiencia operacia³n acuerdo niveles servicio clientes organizacia³n the successful applicant perfil cumplir siguiente requerimiento experiencia ma­nima aa±os trabajar empresa servicio loga­sticos contract logistics paqueteo cobertura nivel nacional debera profesional administracia³n empresa ingeniera­a industrial carrera fin estudio adicional loga­stica excelente habilidad liderazgo equipo pensamiento estrata gicos tomar decisión what offer paquete salarial competitivo contact luisa lievano quote job ref
1017,comunicacia³n asertividad observacia³ncapacitacion control calidad procesosingles intermedio equipo capacidad ana¡lisis tomar decisionesprofesional ingeniera­a industrial
1018,capacidad equipoinnovacia³ncreatividadcapacidad organizacia³n planificacia³n aptitud dibujar precisia³n claridadaptitudes disea±o asistido ordenadoraptitudes negociarcapacidad priorizar tareascapacidades organizativascapaz compaginar tareascapaz colores formas forma creativacapaz encajar cra­ticas rechazo
1019,direccia³n riesgo profesional administracia³n empresa ingeniera­a industrial afín aa±os experiencia roles gestia³n riesgo sector financiero about our client cliente importante empresa sector financiero especializado industria fintech medio pago job description reportar cabeza riesgo fraude direccia³n riesgo debera gestia³n integral riesgo financiero financiero excluir plaft ciberseguridad identificar riesgo medirlos establecer control mitigarlos innovar materia metodologa­as ana¡lisis prospeccia³n cumplir efectivamente la­mites aplicar unidad negocio velar cumplir regulacia³n paa­s apetito riesgo accionista informar peria³dica comita posicia³n firma materia riesgo the successful applicant perfil cumplir siguiente requerimiento profesional administracia³n empresa ingeniera­a industrial finanzas carreras afín interesado ecosistema start aa±os experiencia roles gestia³n riesgo sector financiero banco medio pago fintechs requisito contar conocimiento regulacia³n financiero colombiano amplio experiencia reportes ente regulador valorar experiencia proceso digital experiencia manejo base dato minera­a dato what offer ofrecer pertenecer compaa±a­a fintech la­der industria etapa crecimiento acelerado fuerte plan expansia³n nivel latam contact federico vanegas quote job ref
1020,acerca cliente compaa±a­a sector loga­stico descripcia³n posicia³n gerencia administrativo financiero debera planear controlar presupuesto compaa±a­a manejar proyectar flujo caja gestionar relacia³n institución financiero local analizar rentabilidad compaa±a­a la­neas negocio generar alternativo maximizacia³n ingreso control costo supervisar operaciones contable reporte eeff casa matriz asa­ supervisar relacionado tema tributarios liderar proceso cartera recaudo liderar a¡reas gestia³n humano calidad facilities perfil buscado perfil cumplir siguiente requerimiento profesional administracia³n empresa ingeniera­a industrial finanzas economa­a afín deseable mba maestra­a especializacia³n finanzas experiencia general ma­nima aa±os experiencia especificar gerente administrativo financiero ma­nima aa±os ingla intermedio avanzado escala europeo realizara prueba experiencia implementar erps deseable sap qua ofrecer estabilidad proyeccia³n
1021,candidato ideal persona comercial habilidad liderazgo equipo comunicacia³n alto orientacia³n cliente creativa alto orientacia³n logro tendra cargo coordinacia³n gestia³n comercial funcionamiento administrativo oficina asignado trabajar interdisciplinaria contribuir consecucia³n masivo producto la­der comercial responsabilidad garantizar cumplimiento meta establecido zona bogota responsabilidad este colocacia³n comercial producto trava generacia³n estrategia seguimiento acompaa±amiento personal cargo cumplir plan comerciales estipulado
1022,profesional carrera administrativo economicas contablescursos diplomado sector solidario gestion general conocimiento legislacion sector economia solidario manejo herramienta informaticas bases dato simulador paquete office
1023,comercial la­nea mara­tima profesional carrera loga­stica comercio internacional negocio afín aa±os experiencia naviero desarrollar producto mara­timo la­nea about our client importante empresa internacional presencia ma¡s paa­ses nivel mundial ma¡s aa±os operacia³n mercado representante lineas mara­timas nivel global job description posicia³n comercial la­nea mara­tima debera consecucia³n desarrollo negocios servicio transporte internacional mara­timo cumplimiento presupuesto teus optimizacia³n desarrollo producto mara­timo medicia³n medio kpia´s the successful applicant perfil cumplir siguiente requerimiento profesional carrera loga­stica comercio internacional negocio carrera afín contar ma¡s aa±os experiencia naviero desarrollar producto mara­timo la­nea nivel ingla intermedio alto ma­nimo experiencia cumplir presupuesto desarrollar clientes nivel nacional manejo carga general what offer oportunidad estabilidad crecimiento importante empresa sector oportunidad empresa competitivo mercado paquete salarial atractivo contact natalia mejia quote job ref
1024,a¡en falabella retail talento ja³venes crecer estudiante universitario mercadeo ingeniera­a industrial administrativo apasionar area marketing esta¡s etapa pra¡cticas profesional oportunidad somosfalabella compaa±a­as ma¡s consolidado ama rico latino invitamos postularte practicaprofesional falabellaquierecrecercontigo marketing practicas
1025,acreditar estudio profesional ingeniero civil matra­cula profesional vigente conocimientos experiencia manejo plan ambiental cumplimiento normatividad ambiental experiencia general superior treinta mes poseer experiencia relacionado cargo superior treinta veinticuatro mes
1026,espacio asignado habilidad competencias solicitud empresa reporta informacia³n adicional
1027,espacio asignado habilidad competencias solicitud empresa reporta informacia³n adicional
1028,managing director experiencia mundo consultora­a tecnologa­a preferiblemente ingles avanzado about our client firma consultora marcar diferencia sector consultora­a nivel mundial proceso cercano cliente identificar necesidad formular estrategia ejecutable mejorar proceso clientes asa­ consumidor final salgar beneficiado ecuacia³n job description principal responsabilidad posicia³n managing director sera¡n cargo softlanding compaa±a­a colombia representacia³n legal desarrollo estructuracia³n equipo equipo ingeniera­a data strategy mano partners aliado estrata gicos negocio unido argentina responsabilidad opex capex velar resultado pactado principio reporte directo atender necesidad clientes nivel global regional local liderar proceso potencial compaa±a­as the successful applicant perfil cumplir siguiente requerimiento conocimiento experiencia mundo consultora­a tecnologa­a preferiblemente experiencia liderar delivery clientes mix conocimientos cnicos tecnologa­as componente estrata gico liderar hands sera emplear colombia contar talento cnico ingeniera­a data dominar lenguaje cnicos lograr interpretar necesidad offerings cliente carrera afín ingeniera­a sistema camino management liderazgo equipo inspirador decisia³n criterio ingles avanzado relacionamiento clevel chief strategy officer chief technology officer chief comercial officer chief operation officer chief executive officer principal interlocutor what offer atractivo paquete salarial plan carrera definido salario fijo mensual bono resultado anualizado plan medicina pre pagado familiar car allowance equity contact diego monroy quote job ref
1029,acerca cliente importante compaa±a­a sector audiovisual descripcia³n posicia³n ceo latam debera desarrollar negocio regia³n responder implementacia³n objetivo corto plazo regia³n detectar oportunidad negocio apertura cuenta proyecto mantener contacto directo permanente principal players sector audiovisual latinoamerica gestionar negocio supervisia³n financiero perfil buscado perfil debera cumplir siguiente requisito conocimiento sector audiovisual conocimiento tendencias audiovisual consumo tecnologa­as integridad honorabilidad manejo negocio da­a evolucia³n sector alto habilidad negociacia³n qua ofrecer perfil seleccionado reportar directamente presidente autonoma­a tomar decisión responsabilidad mercado latinoama rico
1030,espacio asignado habilidad competencias solicitud empresa reporta informacia³n adicional
1031,contar habilidad liderazgo organizacia³n personal manejo administrativo derivar servicio
1032,habilidad autonoma­a equipo habilidad programacia³n auditorio inspecciones contribuir aseguramiento calidad inocuidad conformidad producto elaboradosupervisa producto encuentre estadodebe seguro tomar decisión presia³n ing quamica farmaca‰utica alimento experiencia bpm ind alimento bebido alcoha³licas industria farmaca uticaformacia³n bpm haccp sistema calidad intermedio officeestablece proceso materia ambientalcapacidad habilidad gestionar planificar dirigir actividad sistema gestia³n
1033,compromisoalta capacidad interpretacia³nalta capacidad ana¡lisisalta capacidad concentracia³norientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente compromisoalta capacidad interpretacia³nalta capacidad ana¡lisisalta capacidad concentracia³norientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente
1034,compromisoalta capacidad interpretacia³nalta capacidad ana¡lisisalta capacidad concentracia³norientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente compromisoalta capacidad interpretacia³nalta capacidad ana¡lisisalta capacidad concentracia³norientado cumplimiento meta recursivoproactivoresponsabletrabajo equiposentido pertenenciaexcelente servicio cliente
1035,cnico profesional conocimientos wordpress manejo commerce excel mailing video pautas publicaciones instagram facebook linkedin twitter administrador vencimiento control seguimiento proceso habilidad redaccia³n interpretacia³n sa­ntesis capacidad oral respuesta a¡giles creacia³n informes capacidad aprendizaje procesos programa cnico profesional conocimientos wordpress manejo commerce excel mailing video pautas publicaciones instagram facebook linkedin twitter administrador vencimiento control seguimiento proceso habilidad redaccia³n interpretacia³n sa­ntesis capacidad oral respuesta a¡giles creacia³n informes capacidad aprendizaje procesos programa
1036,encargado velar mantenimiento correcto funcionamiento maquinaria utilizada proceso produccia³n garantizar calidad registro documental procedimiento utilizado eficiencia productividad equipo requerir experiencia especifica procesamiento plastico
1037,educacianformacia³n cnica tecnola³gica profesional administracia³n empresa ingeniera­a industrial contabilidad carrera afín apoyo gestia³n documental proceso administrativo na³mina experiencia ma­nima aa±o a¡rea gestia³n humanacontrato rmino indefinidol
1038,contar habilidad liderazgo organizacia³n personal manejo administrativo derivar servicio
1039,expresia³n verbal escucha autocontrol tolerancia presia³n actitud positivo atencia³n manejo informacia³n espa­ritu comercial equipo gestia³n compromiso orientacia³n cliente proactividad amabilidad inteligencia emocional persuasia³n delegacia³n liderazgo excelente manejo excelconocimiento manejo orientacia³n clienteestudios comprobado comercial servicio cliente
1040,conocimiento obligatorio sistema contable world oficce pra¡ctica función interacciones
